Win1Q,Lose1Q,WIN2Q,Lose2Q,Win3Q,Lose3Q,Win4Q,Lose4Q,WinOT,LoseOT
29,13,15,18,17,12,15,18,0,0
33,19,20,26,25,25,13,10,0,0
22,12,28,23,20,26,23,19,0,0
16,16,12,16,24,10,11,12,0,0
20,19,28,15,11,23,25,20,0,0
27,22,19,18,21,20,26,20,0,0
19,23,17,23,22,12,29,23,0,0
23,8,23,18,28,12,16,25,0,0
17,20,18,17,21,15,20,13,0,0
25,21,17,20,43,17,21,13,0,0
16,21,15,20,22,13,17,11,0,0
17,17,17,9,33,11,25,26,0,0
17,5,20,22,14,20,15,16,0,0
29,23,35,21,22,17,20,18,0,0
22,16,16,15,24,16,9,24,8,4
17,13,25,18,26,23,18,17,0,0
23,23,22,17,14,20,11,10,9,7
18,24,24,20,11,16,24,16,0,0
24,22,20,14,19,19,17,22,0,0
27,17,18,20,19,10,8,14,0,0
24,29,19,19,23,15,17,5,0,0
21,9,11,12,14,19,19,16,0,0
21,20,18,21,31,20,18,17,0,0
23,23,22,17,14,20,11,10,9,7
19,18,16,17,19,25,16,8,0,0
22,9,20,23,16,16,23,14,0,0
20,18,13,22,21,20,24,18,5,3
29,10,27,27,11,17,20,14,0,0
15,19,19,17,22,19,25,17,0,0
20,15,29,20,3,14,19,17,0,0
27,9,20,13,23,13,14,7,0,0
32,24,17,22,28,11,28,18,0,0
20,16,15,12,18,14,16,21,0,0
29,22,25,10,18,16,16,17,0,0
31,16,28,17,23,12,12,14,0,0
16,24,22,15,21,14,26,13,0,0
24,18,18,14,8,20,27,22,0,0
22,11,21,17,30,16,10,15,0,0
28,17,25,16,18,19,30,26,0,0
21,16,26,17,20,19,29,14,0,0
25,20,15,21,21,25,19,4,0,0
18,21,26,21,23,18,16,11,0,0
22,19,12,14,22,20,18,9,0,0
21,21,17,13,16,16,19,16,0,0
21,31,20,16,24,20,18,13,0,0
18,15,14,11,21,15,17,8,0,0
27,26,20,17,14,18,23,18,0,0
27,27,26,21,23,27,25,14,0,0
28,19,11,20,13,16,25,19,0,0
21,13,20,6,17,22,20,18,0,0
19,27,20,24,30,18,20,7,0,0
21,23,25,17,20,16,23,18,0,0
26,18,21,20,18,17,23,30,0,0
22,24,23,16,18,17,12,10,0,0
28,6,13,14,23,28,28,24,0,0
19,17,11,18,20,18,23,14,0,0
24,9,21,12,19,7,22,14,0,0
23,21,17,18,23,13,16,12,0,0
11,24,16,16,26,16,25,17,0,0
19,20,6,11,20,14,19,17,0,0
24,15,19,19,20,22,21,23,0,0
25,7,19,24,29,13,26,18,0,0
26,18,19,27,17,16,19,17,0,0
30,24,21,26,20,20,20,10,0,0
17,17,18,15,19,20,16,13,0,0
22,18,21,21,19,8,28,10,0,0
22,20,29,14,11,20,21,17,0,0
25,22,17,24,30,20,27,16,0,0
32,22,19,24,15,19,26,24,0,0
28,18,23,25,19,30,18,14,0,0
24,14,8,19,12,12,20,2,0,0
21,19,25,12,19,15,34,20,0,0
22,15,17,10,19,23,9,8,0,0
17,23,26,12,23,11,18,20,0,0
21,21,21,31,24,16,25,23,13,6
34,19,34,18,29,14,24,11,0,0
22,20,26,20,15,18,24,16,0,0
27,19,23,24,28,20,29,18,0,0
24,12,13,20,18,14,19,23,0,0
18,14,21,15,20,16,21,0,0,0
24,21,16,14,18,7,25,9,0,0
26,16,16,7,23,22,10,18,0,0
