GameID,Round,Winning_Team,Winning_Team_1Q,Winning_Team_2Q,Winning_Team_3Q,Winning_Team_4Q,Winning_Team_OT,Winning_Total,Winning_Margin,Losing_Team,Losing_Team_1Q,Losing_Team_2Q,Losing_Team_3Q,Losing_Team_4Q,Losing_Team_OT,Losing_Total,Losing_Margin
1,1,Boomers,29,15,17,15,0,76,15,Rangers,13,18,12,18,0,61,-15
2,1,Lightning,33,20,25,13,0,91,11,Flames,19,26,25,10,0,80,-11
3,1,Capitals,22,28,20,23,0,93,13,Spirit,12,23,26,19,0,80,-13
4,1,Fire,16,12,24,11,0,63,9,Boomers,16,16,10,12,0,54,-9
5,1,Capitals,20,28,11,25,0,84,7,Lightning,19,15,23,20,0,77,-7
6,1,Flames,27,19,21,26,0,93,13,Lynx,22,18,20,20,0,80,-13
7,2,Lightning,19,17,22,29,0,87,6,Lynx,23,23,12,23,0,81,-6
8,2,Boomers,23,23,28,16,0,90,27,Spirit,8,18,12,25,0,63,-27
9,2,Fire,17,18,21,20,0,76,11,Capitals,20,17,15,13,0,65,-11
10,2,Spirit,25,17,43,21,0,106,35,Lynx,21,20,17,13,0,71,-35
11,2,Flames,16,15,22,17,0,70,5,Rangers,21,20,13,11,0,65,-5
12,2,Boomers,17,17,33,25,0,92,29,Capitals,17,9,11,26,0,63,-29
13,3,Flames,17,20,14,15,0,66,3,Fire,5,22,20,16,0,63,-3
14,3,Lynx,29,35,22,20,0,106,27,Spirit,23,21,17,18,0,79,-27
15,3,Lightning,22,16,24,9,8,79,4,Spirit,16,15,16,24,4,75,-4
16,3,Rangers,17,25,26,18,0,86,15,Fire,13,18,23,17,0,71,-15
17,3,Boomers,23,22,14,11,9,79,2,Lynx,23,17,20,10,7,77,-2
18,3,Rangers,18,24,11,24,0,77,1,Capitals,24,20,16,16,0,76,-1
19,4,Lightning,24,20,19,17,0,80,3,Capitals,22,14,19,22,0,77,-3
20,4,Lightning,27,18,19,8,0,72,11,Spirit,17,20,10,14,0,61,-11
21,4,Fire,24,19,23,17,0,83,15,Capitals,29,19,15,5,0,68,-15
22,4,Flames,21,11,14,19,0,65,9,Boomers,9,12,19,16,0,56,-9
23,4,Lynx,21,18,31,18,0,88,10,Rangers,20,21,20,17,0,78,-10
24,4,Boomers,23,22,14,11,9,79,2,Lynx,23,17,20,10,7,77,-2
25,4,Rangers,19,16,19,16,0,70,2,Flames,18,17,25,8,0,68,-2
26,5,Flames,22,20,16,23,0,81,19,Capitals,9,23,16,14,0,62,-19
27,5,Rangers,20,13,21,24,5,83,2,Lightning,18,22,20,18,3,81,-2
28,5,Lynx,29,27,11,20,0,87,19,Fire,10,27,17,14,0,68,-19
29,5,Flames,15,19,22,25,0,81,9,Capitals,19,17,19,17,0,72,-9
30,5,Spirit,20,29,3,19,0,71,5,Boomers,15,20,14,17,0,66,-5
31,5,Fire,27,20,23,14,0,84,42,Lightning,9,13,13,7,0,42,-42
32,6,Flames,32,17,28,28,0,105,30,Spirit,24,22,11,18,0,75,-30
33,6,Lightning,20,15,18,16,0,69,6,Rangers,16,12,14,21,0,63,-6
34,6,Boomers,29,25,18,16,0,88,23,Flames,22,10,16,17,0,65,-23
35,6,Fire,31,28,23,12,0,94,35,Spirit,16,17,12,14,0,59,-35
36,6,Lynx,16,22,21,26,0,85,19,Capitals,24,15,14,13,0,66,-19
37,6,Boomers,24,18,8,27,0,77,3,Lightning,18,14,20,22,0,74,-3
38,7,Lynx,22,21,30,10,0,83,24,Spirit,11,17,16,15,0,59,-24
39,7,Fire,28,25,18,30,0,101,23,Lightning,17,16,19,26,0,78,-23
40,7,Boomers,21,26,20,29,0,96,30,Capitals,16,17,19,14,0,66,-30
41,7,Rangers,25,15,21,19,0,80,10,Spirit,20,21,25,4,0,70,-10
42,7,Lynx,18,26,23,16,0,83,12,Flames,21,21,18,11,0,71,-12
43,8,Lynx,22,12,22,18,0,74,12,Rangers,19,14,20,9,0,62,-12
44,8,Fire,21,17,16,19,0,73,7,Boomers,21,13,16,16,0,66,-7
45,8,Spirit,21,20,24,18,0,83,3,Capitals,31,16,20,13,0,80,-3
46,8,Lightning,18,14,21,17,0,70,21,Rangers,15,11,15,8,0,49,-21
47,8,Lynx,27,20,14,23,0,84,5,Fire,26,17,18,18,0,79,-5
48,8,Flames,27,26,23,25,0,101,12,Boomers,27,21,27,14,0,89,-12
49,9,Lightning,28,11,13,25,0,77,3,Flames,19,20,16,19,0,74,-3
50,9,Rangers,21,20,17,20,0,78,19,Fire,13,6,22,18,0,59,-19
51,9,Lynx,19,20,30,20,0,89,13,Capitals,27,24,18,7,0,76,-13
52,9,Lynx,21,25,20,23,0,89,15,Lightning,23,17,16,18,0,74,-15
53,9,Fire,26,21,18,23,0,88,3,Flames,18,20,17,30,0,85,-3
54,9,Rangers,22,23,18,12,0,75,8,Spirit,24,16,17,10,0,67,-8
55,9,Boomers,28,13,23,28,0,92,20,Capitals,6,14,28,24,0,72,-20
56,10,Flames,19,11,20,23,0,73,6,Capitals,17,18,18,14,0,67,-6
57,10,Boomers,24,21,19,22,0,86,44,Spirit,9,12,7,14,0,42,-44
58,10,Lightning,23,17,23,16,0,79,15,Fire,21,18,13,12,0,64,-15
59,10,Lynx,11,16,26,25,0,78,5,Rangers,24,16,16,17,0,73,-5
60,10,Boomers,19,6,20,19,0,64,2,Lightning,20,11,14,17,0,62,-2
61,10,Lynx,24,19,20,21,0,84,5,Flames,15,19,22,23,0,79,-5
62,10,Fire,25,19,29,26,0,99,37,Spirit,7,24,13,18,0,62,-37
63,10,Capitals,26,19,17,19,0,81,3,Rangers,18,27,16,17,0,78,-3
64,11,Capitals,30,21,20,20,0,91,11,Spirit,24,26,20,10,0,80,-11
65,11,Flames,17,18,19,16,0,70,5,Rangers,17,15,20,13,0,65,-5
66,11,Flames,22,21,19,28,0,90,33,Spirit,18,21,8,10,0,57,-33
67,11,Fire,22,29,11,21,0,83,12,Rangers,20,14,20,17,0,71,-12
68,11,Lynx,25,17,30,27,0,99,17,Lightning,22,24,20,16,0,82,-17
69,11,Lynx,32,19,15,26,0,92,3,Boomers,22,24,19,24,0,89,-3
70,11,Capitals,28,23,19,18,0,88,1,Lightning,18,25,30,14,0,87,-1
71,12,Spirit,24,8,12,20,0,64,17,Rangers,14,19,12,2,0,47,-17
72,12,Fire,21,25,19,34,0,99,33,Capitals,19,12,15,20,0,66,-33
73,12,Lightning,22,17,19,9,0,67,11,Boomers,15,10,23,8,0,56,-11
74,12,Lynx,17,26,23,18,0,84,18,Boomers,23,12,11,20,0,66,-18
75,12,Flames,21,21,24,25,13,104,7,Lightning,21,31,16,23,6,97,-7
76,12,Fire,34,34,29,24,0,121,59,Spirit,19,18,14,11,0,62,-59
77,13,Lightning,22,26,15,24,0,87,13,Spirit,20,20,18,16,0,74,-13
78,13,Flames,27,23,28,29,0,107,26,Fire,19,24,20,18,0,81,-26
79,13,Capitals,24,13,18,19,0,74,5,Lynx,12,20,14,23,0,69,-5
80,13,Boomers,18,21,20,21,0,80,35,Rangers,14,15,16,0,0,45,-35
81,13,Fire,24,16,18,25,0,83,32,Lynx,21,14,7,9,0,51,-32
82,13,Flames,26,16,23,10,0,75,12,Spirit,16,7,22,18,0,63,-12
83,F,Boomers,28,28,19,17,0,92,16,Lynx,22,23,10,21,0,76,-16
84,F,Fire,21,22,18,17,0,78,29,Flames,19,8,11,11,0,49,-29
85,F,Boomers,18,15,15,30,0,78,9,Lynx,12,26,15,16,0,69,-9
86,F,Fire,16,25,15,12,0,68,3,Flames,21,16,16,12,0,65,-3
87,F,Fire,21,10,17,21,0,69,5,Boomers,20,10,10,24,0,64,-5
88,F,Boomers,15,11,17,15,0,58,1,Fire,17,18,12,10,0,57,-1
89,F,Fire,20,15,20,15,0,70,13,Boomers,14,13,16,14,0,57,-13
